date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:31:47	385/385	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Mar%202021%2001:31:47%20GMT	http://www.mich-ca.org/robots.txt		(from )
21:31:47	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Mar%202021%2001:31:47%20GMT	http://www.mich-ca.org/	D:/MichCA/MichCA/www.mich-ca.org/index.html	(from )
21:31:48	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Mar%202021%2001:31:48%20GMT	http://www.mich-ca.org/homepage.htm;jsessionid=332CBA4B12AF736CA22CA6320C20635A	D:/MichCA/MichCA/www.mich-ca.org/homepage.htm;jsessionid=332CBA4B12AF736CA22CA6320C20635A	(from http://www.mich-ca.org/)
21:31:49	38302/38302	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Mar%202021%2001:31:48%20GMT	http://www.mich-ca.org/displayPage.htm?pgname=HOME,%20RIGHT_BAR2&pg_right_bar=RIGHT_BAR2&	D:/MichCA/MichCA/www.mich-ca.org/displayPage78af.html	(from http://www.mich-ca.org/)
21:31:49	31346/31346	---M--	200	added ('OK')	text/css	etag:W/%2231346-1427497854000%22	http://www.mich-ca.org/css/jquery-ui.css	D:/MichCA/MichCA/www.mich-ca.org/css/jquery-ui.css	(from http://www.mich-ca.org/displayPage.htm?pgname=HOME,%20RIGHT_BAR2&pg_right_bar=RIGHT_BAR2&)
21:31:50	9412/9412	---M--	200	added ('OK')	text/css	etag:W/%229412-1431131308000%22	http://www.mich-ca.org/css/style.css	D:/MichCA/MichCA/www.mich-ca.org/css/style.css	(from http://www.mich-ca.org/displayPage.htm?pgname=HOME,%20RIGHT_BAR2&pg_right_bar=RIGHT_BAR2&)
21:31:50	6533/6533	---M--	200	added ('OK')	text/css	etag:W/%226533-1429485064000%22	http://www.mich-ca.org/css/style_new.css	D:/MichCA/MichCA/www.mich-ca.org/css/style_new.css	(from http://www.mich-ca.org/displayPage.htm?pgname=HOME,%20RIGHT_BAR2&pg_right_bar=RIGHT_BAR2&)
21:31:51	2796/2796	---M--	200	added ('OK')	text/css	etag:W/%222796-1432773566000%22	http://www.mich-ca.org/css/grid_12.css	D:/MichCA/MichCA/www.mich-ca.org/css/grid_12.css	(from http://www.mich-ca.org/displayPage.htm?pgname=HOME,%20RIGHT_BAR2&pg_right_bar=RIGHT_BAR2&)
21:31:51	882/882	---M--	200	added ('OK')	text/css	etag:W/%22882-1427497854000%22	http://www.mich-ca.org/css/slider.css	D:/MichCA/MichCA/www.mich-ca.org/css/slider.css	(from http://www.mich-ca.org/displayPage.htm?pgname=HOME,%20RIGHT_BAR2&pg_right_bar=RIGHT_BAR2&)
21:31:51	1868/1868	---M--	200	added ('OK')	text/css	etag:W/%221868-1427497854000%22	http://www.mich-ca.org/js/Slicebox/css/custom.css	D:/MichCA/MichCA/www.mich-ca.org/js/Slicebox/css/custom.css	(from http://www.mich-ca.org/displayPage.htm?pgname=HOME,%20RIGHT_BAR2&pg_right_bar=RIGHT_BAR2&)
21:31:51	1885/1885	---M--	200	added ('OK')	text/css	etag:W/%221885-1427497854000%22	http://www.mich-ca.org/js/Slicebox/css/slicebox.css	D:/MichCA/MichCA/www.mich-ca.org/js/Slicebox/css/slicebox.css	(from http://www.mich-ca.org/displayPage.htm?pgname=HOME,%20RIGHT_BAR2&pg_right_bar=RIGHT_BAR2&)
21:31:51	696/696	---M--	200	added ('OK')	text/css	etag:W/%22696-1427497854000%22	http://www.mich-ca.org/js/basic-jquery-slider/bjqs.css	D:/MichCA/MichCA/www.mich-ca.org/js/basic-jquery-slider/bjqs.css	(from http://www.mich-ca.org/displayPage.htm?pgname=HOME,%20RIGHT_BAR2&pg_right_bar=RIGHT_BAR2&)
21:31:52	1054/1054	---M--	200	added ('OK')	text/css	etag:W/%221054-1427497854000%22	http://www.mich-ca.org/js/basic-jquery-slider/demo.css	D:/MichCA/MichCA/www.mich-ca.org/js/basic-jquery-slider/demo.css	(from http://www.mich-ca.org/displayPage.htm?pgname=HOME,%20RIGHT_BAR2&pg_right_bar=RIGHT_BAR2&)
21:31:52	4269/4269	---M--	200	added ('OK')	text/css	etag:W/%224269-1430019756000%22	http://www.mich-ca.org/css/nav-michca-blue-yellow.css	D:/MichCA/MichCA/www.mich-ca.org/css/nav-michca-blue-yellow.css	(from http://www.mich-ca.org/displayPage.htm?pgname=HOME,%20RIGHT_BAR2&pg_right_bar=RIGHT_BAR2&)
21:31:52	1749/1749	---M--	200	added ('OK')	text/css	etag:W/%221749-1429830146000%22	http://www.mich-ca.org/css/nav-sub-michca.css	D:/MichCA/MichCA/www.mich-ca.org/css/nav-sub-michca.css	(from http://www.mich-ca.org/displayPage.htm?pgname=HOME,%20RIGHT_BAR2&pg_right_bar=RIGHT_BAR2&)
21:31:52	4273/4273	---M--	200	added ('OK')	text/css	etag:W/%224273-1427497854000%22	http://www.mich-ca.org/js/msdropdown/css/msdropdown/dd.css	D:/MichCA/MichCA/www.mich-ca.org/js/msdropdown/css/msdropdown/dd.css	(from http://www.mich-ca.org/displayPage.htm?pgname=HOME,%20RIGHT_BAR2&pg_right_bar=RIGHT_BAR2&)
21:31:53	10271/10271	---M--	200	added ('OK')	text/css	etag:W/%2210271-1427497854000%22	http://www.mich-ca.org/js/msdropdown/css/msdropdown/flags.css	D:/MichCA/MichCA/www.mich-ca.org/js/msdropdown/css/msdropdown/flags.css	(from http://www.mich-ca.org/displayPage.htm?pgname=HOME,%20RIGHT_BAR2&pg_right_bar=RIGHT_BAR2&)
21:31:53	294/294	---M--	200	added ('OK')	text/css	etag:W/%22294-1427497854000%22	http://www.mich-ca.org/css/themes/base/jquery.ui.all.css	D:/MichCA/MichCA/www.mich-ca.org/css/themes/base/jquery.ui.all.css	(from http://www.mich-ca.org/displayPage.htm?pgname=HOME,%20RIGHT_BAR2&pg_right_bar=RIGHT_BAR2&)
